id_n,Year,Gender,City,TaxpayerType,companytype,Activity,entactivitycode,SectorDescription,Size,gross_wage,net_income_business,net_income_partnership,gross_rents,gross_i_interest_pen_pay,gross_i_interest,gross_i_inta_prop,capital_gain,foreign_s_inc,other_inc_gifts,total_inc,ded_rents_expen_rents10pct,ded_pen_cont,ded_exp_int_prop,other_allowed_ded,total_ded,taxable_amount,loss_carried_for,dis_charity_contribution,tot_additional_ded,taxable_inc_before_tax,tax_on_tax_inc_bracket,tax_withheld_wage_employer,tax_withheld_wage_interest,tax_withheld_rents,tax_witheld_lottery_gains,foreign_tax_credit,total_witheld_credit,total_pay_for,q_advance_business_inc,q_payment_ren_inc_int_prop,total_advance_payment,total_tax_payable,amount_due,sector,companytype_en
11,2022,M,FERIZAJ,BIZNES,Individual,Pushimet dhe akomodimet e tjera me qëndrim të shkurtër,5520,Akomodimi dhe sherbimi ushqimor,3,0.0,21106.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21106.36,0.0,0.0,0.0,0.0,0.0,21106.36,0.0,0.0,0.0,21106.36,1844.24,0.0,0.0,0.0,0.0,0.0,0.0,1844.24,136.8,0.0,136.8,1707.44,1707.44,55,Individual
12,2022,M,PRISHTINË,BIZNES,Individual,"Tregtia me pakicë e këpucëve dhe artikujve prej lëkure, në dyqane të specializuara",4772,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,3,0.0,10183.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10183.51,0.0,0.0,0.0,0.0,0.0,10183.51,0.0,0.0,0.0,10183.51,751.95,0.0,0.0,0.0,0.0,0.0,0.0,751.95,495.0,0.0,495.0,256.95,256.95,47,Individual
13,2022,M,GLLOGOC,BIZNES,Individual,Tregtia me pakicë e pjesëve dhe aksesorëve të automjeteve,4532,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Individual
14,2022,M,MITROVICË,BIZNES,Individual,"Tregtia me shumicë e produkteve të qumështit, vezëve, vajrave dhe yndyrnave të gatimit ",4633,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,5,0.0,261844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261844.0,0.0,0.0,0.0,0.0,0.0,261844.0,261844.0,0.0,261844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6819.0,0.0,6819.0,0.0,0.0,46,Individual
15,2022,M,PRISHTINË,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,1,44153.39,0.0,0.0,0.0,2207.58,0.0,0.0,0.0,3450.0,0.0,49810.97,0.0,4415.16,0.0,0.0,4415.16,45395.81,0.0,0.0,0.0,45395.81,4273.18,3928.21,0.0,0.0,0.0,0.0,3928.21,344.97,0.0,0.0,0.0,344.97,344.97,10,
16,2022,M,VLLASHNJE,BIZNES,Individual,Restorantet dhe aktivitetet shërbyese lëvizëse të ushqimit,5610,Akomodimi dhe sherbimi ushqimor,2,0.0,89.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89,0.0,0.0,0.0,0.0,0.0,89.89,89.89,0.0,89.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,Individual
17,2022,F,PRISHTINË,BIZNES,Individual,Aktivitetet e këshillimit për biznes dhe këshillat e tjera për manaxhim,7022,"Aktivitetet profesionale, shkencore dhe teknike",1,0.0,6094.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6094.04,0.0,0.0,0.0,0.0,0.0,6094.04,0.0,0.0,0.0,6094.04,343.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,343.0,343.0,70,Individual
18,2022,M,PRISHTINË,BIZNES,Individual,Ndërtimi i objekteve banesore dhe jobanesore,4120,Ndertimtaria,4,0.0,100321.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100321.8,0.0,0.0,0.0,0.0,0.0,100321.8,0.0,0.0,0.0,100321.8,9765.78,0.0,0.0,0.0,0.0,0.0,0.0,9765.78,0.0,0.0,0.0,9765.78,9765.78,41,Individual
19,2022,M,GJAKOVË,BIZNES,Individual,"Prodhimi i bukës, simiteve dhe ëmbëlsirave të freskëta",1071,Industria perpunuese,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Individual
20,2022,M,PRISHTINË,BIZNES,Individual,"Tregtia me pakicë e mobilieve, pajisjeve të ndriçimit dhe artikujve të tjerë shtëpiakë, në dyqane të specializuara ",4759,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4,0.0,76206.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76206.75,0.0,0.0,0.0,0.0,0.0,76206.75,0.0,0.0,0.0,76206.75,7354.28,0.0,0.0,0.0,0.0,0.0,0.0,7354.28,5800.0,0.0,5800.0,1554.28,1554.28,47,Individual
21,2022,M,PRIZREN,BIZNES,Individual,Tregtia me pakicë e veshjeve në dyqane të specializuara,4771,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,6156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6156.0,0.0,0.0,0.0,200.0,200.0,5956.0,5143.49,0.0,5143.49,812.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,204.0,0.0,0.0,47,Individual
22,2022,M,PEJË,BIZNES,Individual,"Prodhimi i bukës, simiteve dhe ëmbëlsirave të freskëta",1071,Industria perpunuese,3,0.0,17064.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17064.03,0.0,2400.0,0.0,0.0,2400.0,14664.03,0.0,0.0,0.0,14664.03,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,0.0,1200.0,0.0,0.0,10,Individual
23,2022,M,PRIZREN,BIZNES,Individual,Proceset përfundimtare të përpunimit të tekstilit,1330,Industria perpunuese,3,0.0,12239.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12239.81,0.0,654.95,0.0,0.0,654.95,11584.86,0.0,0.0,0.0,11584.86,892.09,0.0,0.0,0.0,0.0,0.0,0.0,892.09,568.61,0.0,568.61,323.48,323.48,13,Individual
24,2022,M,PRIZREN,BIZNES,Individual,Kanalizimi,3700,Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,3,0.0,79796.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79796.58,0.0,0.0,0.0,0.0,0.0,79796.58,0.0,0.0,0.0,79796.58,7713.26,0.0,0.0,0.0,0.0,0.0,0.0,7713.26,1150.2,0.0,1150.2,6563.06,6563.06,37,Individual
25,2022,M,ZUBIN POTOK,BIZNES,Individual,"Tregtia me pakicë në dyqane jo të specializuar, ku mbizotëron ushqimi, pijet dhe duhani",4711,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,1198.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.55,0.0,0.0,0.0,0.0,0.0,1198.55,56.05,0.0,56.05,1142.5,7.3,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,7.3,7.3,47,Individual
26,2022,M,PEJË,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,1,0.0,0.0,828.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.68,0.0,204.0,0.0,0.0,204.0,624.68,0.0,0.0,0.0,624.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,260.0,0.0,0.0,10,
27,2022,F,PRIZREN,BIZNES,Individual,Tregtia me pakicë e veshjeve në dyqane të specializuara,4771,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,3935.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.4,0.0,204.0,0.0,0.0,204.0,3731.4,0.0,0.0,0.0,3731.4,140.11,0.0,0.0,0.0,0.0,0.0,0.0,140.11,140.0,0.0,140.0,0.11,0.11,47,Individual
28,2022,M,PARTESH,BIZNES,Individual,Aktvitetet e autoshkollave,8553,Arsimi,2,0.0,-2800.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2800.19,0.0,0.0,0.0,0.0,0.0,-2800.19,0.0,0.0,0.0,-2800.19,0.0,204.0,0.0,0.0,0.0,0.0,204.0,-204.0,0.0,0.0,0.0,0.0,0.0,85,Individual
29,2022,M,GJILAN,BIZNES,Individual,Incizimi i zërit dhe aktivitetet e publikimit të muzikës ,5920,Informimi dhe komunikimi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,Individual
30,2022,F,KAMENICË,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,1,11540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11540.0,0.0,0.0,0.0,0.0,0.0,11540.0,0.0,0.0,0.0,11540.0,887.6,0.0,0.0,0.0,0.0,0.0,0.0,887.6,0.0,0.0,0.0,887.6,887.6,10,
31,2022,M,PRISHTINË,BIZNES,Individual,"Aktivitetet e kontabilitetit, libërmbajtjes dhe auditimit; këshillime tatimore",6920,"Aktivitetet profesionale, shkencore dhe teknike",2,0.0,431.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.42,0.0,0.0,0.0,0.0,0.0,431.42,0.0,0.0,0.0,431.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Individual
32,2022,F,PRIZREN,BIZNES,Individual,Tregtia me pakicë e pajisjeve elekroshtëpiake në dyqane të specializuara,4754,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,3,0.0,91519.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91519.61,0.0,2400.0,0.0,0.0,2400.0,89119.61,0.0,0.0,0.0,89119.61,8645.56,0.0,0.0,0.0,0.0,0.0,0.0,8645.56,6676.0,0.0,6676.0,1969.56,1969.56,47,Individual
33,2022,M,SHIROKË,BIZNES,Individual,"Tregtia me shumicë e lëndëve djegëse të ngurta, të lëngëta ose të gazta dhe produkteve të lidhur me to",4671,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4,0.0,139625.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139625.61,0.0,2400.0,0.0,0.0,2400.0,137225.61,0.0,0.0,0.0,137225.61,13456.16,0.0,0.0,0.0,0.0,0.0,0.0,13456.16,5000.0,0.0,5000.0,8456.16,8456.16,46,Individual
34,2022,M,KLINË,BIZNES,Individual,Tregtia me pakicë e tekstileve në dyqane të specializuara,4751,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,7783.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7783.99,0.0,0.0,0.0,0.0,0.0,7783.99,0.0,0.0,0.0,7783.99,512.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,512.0,0.0,0.0,47,Individual
35,2022,M,PRISHTINË,BIZNES,Individual,"Tregtia me pakicë e mobilieve, pajisjeve të ndriçimit dhe artikujve të tjerë shtëpiakë, në dyqane të specializuara ",4759,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,14605.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14605.11,0.0,0.0,0.0,0.0,0.0,14605.11,0.0,0.0,0.0,14605.11,1194.11,0.0,0.0,0.0,0.0,0.0,0.0,1194.11,400.0,0.0,400.0,794.11,794.11,47,Individual
36,2022,M,PRIZREN,BIZNES,Individual,Furnizimi me ushqim me porosi për raste,5621,Akomodimi dhe sherbimi ushqimor,3,0.0,19916.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19916.25,0.0,931.68,0.0,0.0,931.68,18984.57,0.0,0.0,0.0,18984.57,1632.06,0.0,0.0,0.0,0.0,0.0,0.0,1632.06,1302.3,0.0,1302.3,329.76,329.76,56,Individual
37,2022,M,PRISHTINË,BIZNES,Individual,Aktivitete juridike,6910,"Aktivitetet profesionale, shkencore dhe teknike",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Individual
38,2022,M,HANI I ELEZIT,BIZNES,Individual,"Tregtia me shumicë e drurit, materialeve të ndërtimit dhe pajisjeve hidrosanitare",4673,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4,0.0,31998.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31998.22,0.0,0.0,0.0,0.0,0.0,31998.22,0.0,0.0,0.0,31998.22,2933.42,0.0,0.0,0.0,0.0,0.0,0.0,2933.42,497.61,0.0,497.61,2435.81,2435.81,46,Individual
39,2022,M,GJAKOVË,BIZNES,Individual,Aktivitetet e qendrave të thirrjeve,8220,Sherbimet administrative dhe mbeshtetese,3,0.0,19468.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19468.7,0.0,0.0,0.0,0.0,0.0,19468.7,0.0,0.0,0.0,19468.7,1680.47,0.0,0.0,0.0,0.0,0.0,0.0,1680.47,1250.0,0.0,1250.0,430.47,430.47,82,Individual
40,2022,M,ROGOVË,BIZNES,Individual,Tregtia me pakice e artikujve farmaceutikë në dyqane të specializuara (Barnatore),4773,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,3,0.0,14464.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14464.99,0.0,1446.5,0.0,0.0,1446.5,13018.49,0.0,0.0,0.0,13018.49,1035.45,0.0,0.0,0.0,0.0,0.0,0.0,1035.45,1410.6,0.0,1410.6,0.0,0.0,47,Individual
41,2022,M,PRISHTINË,BIZNES,Individual,Aktivitetet e dentistëve,8623,Aktivitetet e shendetit te njeriut dhe te punes sociale,3,0.0,103722.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103722.5,0.0,2400.0,0.0,0.0,2400.0,101322.5,0.0,0.0,0.0,101322.5,9865.85,0.0,0.0,0.0,0.0,0.0,0.0,9865.85,7200.0,0.0,7200.0,2665.85,2665.85,86,Individual
42,2022,M,PRIZREN,BIZNES,Individual,Tregtia me pakicë e pjesëve dhe aksesorëve të automjeteve,4532,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,4,0.0,63721.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63721.06,0.0,0.0,0.0,0.0,0.0,63721.06,0.0,0.0,0.0,63721.06,6105.71,0.0,0.0,0.0,0.0,0.0,0.0,6105.71,3997.6,0.0,3997.6,2108.11,2108.11,45,Individual
43,2022,M,RASHIQ,BIZNES,Individual,Transporti tjetër rrugor i pasagjerëve p.k.t.,4939,Transporti dhe magazinimi,3,0.0,2483.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483.29,0.0,0.0,0.0,0.0,0.0,2483.29,2483.29,0.0,2483.29,0.0,0.0,0.0,1210.0,0.0,0.0,0.0,1210.0,-1210.0,822.6,0.0,822.6,0.0,0.0,49,Individual
44,2022,M,GJILAN,BIZNES,Individual,Aktivitetet e mjekësisë së specializuar,8622,Aktivitetet e shendetit te njeriut dhe te punes sociale,3,27283.52,120103.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147387.5,0.0,1364.18,0.0,0.0,1364.18,146023.32,0.0,0.0,0.0,146023.32,14335.93,2591.93,0.0,0.0,0.0,0.0,2591.93,11744.0,13060.1,0.0,13060.1,0.0,0.0,86,Individual
45,2022,M,DUBRAVE,BIZNES,Individual,Instalime të tjera ndërtimore,4329,Ndertimtaria,3,0.0,12359.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12359.3,0.0,1450.0,0.0,0.0,1450.0,10909.3,0.0,0.0,0.0,10909.3,824.53,0.0,0.0,0.0,0.0,0.0,0.0,824.53,1100.0,0.0,1100.0,0.0,0.0,43,Individual
46,2022,M,MALISHEVË,BIZNES,Individual,Mirëmbajtja dhe riparimi i automjeteve,4520,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,1,0.0,2202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.0,0.0,240.0,0.0,0.0,240.0,1962.0,0.0,0.0,0.0,1962.0,40.08,0.0,0.0,0.0,0.0,0.0,0.0,40.08,48.0,0.0,48.0,0.0,0.0,45,Individual
47,2022,M,BROD,BIZNES,Individual,"Prodhimi i produkteve të tjera nga druri; prodhimi i artikujve nga tapa, kashta dhe materialeve të gërshetuara-thurëse",1629,Industria perpunuese,2,0.0,1670.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.1,0.0,0.0,0.0,0.0,0.0,1670.1,0.0,0.0,0.0,1670.1,28.4,0.0,0.0,0.0,0.0,0.0,0.0,28.4,100.8,0.0,100.8,0.0,0.0,16,Individual
48,2022,M,LLAPASHTICE E EPERME,BIZNES,Individual,Prodhimi i konstrukcioneve metalike dhe pjesëve të tyre,2511,Industria perpunuese,2,0.0,4115.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4115.73,0.0,600.0,0.0,0.0,600.0,3515.73,0.0,0.0,0.0,3515.73,122.86,0.0,0.0,0.0,0.0,0.0,0.0,122.86,539.84,0.0,539.84,0.0,0.0,25,Individual
49,2022,F,PRISHTINË,BIZNES,Individual,Tregtia me pakice e artikujve farmaceutikë në dyqane të specializuara (Barnatore),4773,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,3,0.0,32436.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32436.97,0.0,1750.0,0.0,0.0,1750.0,30686.97,0.0,0.0,0.0,30686.97,2802.3,0.0,0.0,0.0,0.0,0.0,0.0,2802.3,2727.77,0.0,2727.77,74.53,74.53,47,Individual
50,2022,M,GJILAN,BIZNES,Individual,Aktivitetet e programimit kompjuterik ,6201,Informimi dhe komunikimi,2,0.0,47902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47902.0,0.0,0.0,0.0,0.0,0.0,47902.0,0.0,0.0,0.0,47902.0,4523.8,0.0,0.0,0.0,0.0,0.0,0.0,4523.8,0.0,0.0,0.0,4523.8,4523.8,62,Individual
51,2022,M,PRIZREN,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,3,0.0,224178.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224178.68,0.0,2400.0,0.0,0.0,2400.0,221778.68,0.0,0.0,0.0,221778.68,21911.47,0.0,0.0,0.0,0.0,0.0,0.0,21911.47,14418.25,0.0,14418.25,7493.22,7493.22,10,
52,2022,M,VUSHTRRI,BIZNES,Individual,Aktivitetet e dentistëve,8623,Aktivitetet e shendetit te njeriut dhe te punes sociale,2,0.0,6462.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462.9,0.0,204.0,0.0,0.0,204.0,6258.9,0.0,0.0,0.0,6258.9,359.49,0.0,0.0,0.0,0.0,0.0,0.0,359.49,360.0,0.0,360.0,0.0,0.0,86,Individual
53,2022,M,PRISHTINË,PERSON FIZIK,Person fizik,Person fizik,10000,Person Fizik,1,57477.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0,67977.29,0.0,2873.89,0.0,0.0,2873.89,65103.4,0.0,0.0,0.0,65103.4,6243.94,5193.92,0.0,0.0,0.0,0.0,5193.92,1050.02,0.0,0.0,0.0,1050.02,1050.02,10,
54,2022,M,SUHAREKË,BIZNES,Individual,Restorantet dhe aktivitetet shërbyese lëvizëse të ushqimit,5610,Akomodimi dhe sherbimi ushqimor,3,0.0,60578.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60578.65,0.0,1400.0,0.0,0.0,1400.0,59178.65,0.0,0.0,0.0,59178.65,5651.47,0.0,0.0,6185.9,0.0,0.0,6185.9,-534.44,800.0,0.0,800.0,0.0,0.0,56,Individual
55,2022,M,PRISHTINË,BIZNES,Individual,Tregtia me pakicë e pajisjeve elekroshtëpiake në dyqane të specializuara,4754,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,-45392.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45392.03,0.0,0.0,0.0,0.0,0.0,-45392.03,0.0,0.0,0.0,-45392.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Individual
56,2022,M,DUJAKË,BIZNES,Individual,Aktivitetet e tjera sportive,9319,"Artet, Argetimi dhe rekreacioni",2,0.0,4371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4371.0,0.0,0.0,0.0,0.0,0.0,4371.0,0.0,0.0,0.0,4371.0,191.28,0.0,0.0,0.0,0.0,0.0,0.0,191.28,200.0,0.0,200.0,0.0,0.0,93,Individual
57,2022,M,PEJË,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17026.92,0.0,17026.92,0.0,0.0,0.0,0.0,0.0,17026.92,0.0,0.0,0.0,17026.92,1436.29,0.0,0.0,0.0,0.0,2358.38,2358.38,-922.09,0.0,0.0,0.0,0.0,0.0,10,
58,2022,F,SUHAREKË,BIZNES,Individual,Aktivitetet mbështetëse arsimore ,8560,Arsimi,2,0.0,9406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9406.0,0.0,420.0,0.0,0.0,420.0,8986.0,0.0,0.0,0.0,8986.0,632.2,0.0,0.0,0.0,0.0,0.0,0.0,632.2,144.0,0.0,144.0,488.2,488.2,85,Individual
